,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
120,"917 9th Ave, New York, NY 10019",{'grocery'},40.7688424,-73.9852453,Associated Supermarkets,10019,10019,West Midtown
121,"7 E 14th St, New York, NY 10003","{'markets', 'grocery'}",40.7358551025391,-73.9925155639648,Garden of Eden,10003,10003,Greenwich Village
122,"142 E 14th St, New York, NY 10003","{'beer_and_wine', 'grocery'}",40.7336904108524,-73.9882441610098,Trader Joe's,10003,10003,Greenwich Village
123,"4 Union Square S, New York, NY 10003","{'gourmet', 'coffee', 'grocery'}",40.7348685454213,-73.9913427829742,Whole Foods Market,10003,10003,Greenwich Village
124,"84 3rd Ave, New York, NY 10003","{'grocery', 'catering'}",40.73187,-73.98862,Westside Market,10003,10003,Greenwich Village
125,"252 3rd Ave, New York, NY 10003","{'delis', 'grocery'}",40.737396,-73.984543,Namu Deli,10003,10003,Greenwich Village
126,"New York, NY 10003","{'delis', 'beer_and_wine', 'grocery'}",40.7322535,-73.9874105,NewYorkGrocery.com,10003,10003,Greenwich Village
127,"1 University Pl, New York, NY 10003","{'delis', 'grocery', 'sandwiches'}",40.7308625603409,-73.9952252361478,Space Market,10003,10003,Greenwich Village
128,"275 1st Ave, New York, NY 10003",{'grocery'},40.732589,-73.982025,K M P Market,10003,10003,Greenwich Village
129,"59 5th Ave, New York, NY 10003","{'delis', 'grocery'}",40.7352033420492,-73.9941824164925,Merci Market,10003,10003,Greenwich Village
130,"10 Union Square E, New York, NY 10003","{'markets', 'delis', 'grocery'}",40.7344662972731,-73.9895852098519,The Food Emporium,10003,10003,Greenwich Village
131,"315 1st Ave, New York, NY 10003","{'markets', 'grocery'}",40.734688,-73.982201,One's Fruit & Grocery,10003,10003,Greenwich Village
132,"91 1st Ave, New York, NY 10003",{'grocery'},40.726261,-73.986686,Dual Specialty Store,10003,10003,Greenwich Village
133,"58 E 4th St, New York, NY 10003","{'markets', 'healthmarkets', 'grocery'}",40.726554,-73.990859,4th Street Food Co-op,10003,10003,Greenwich Village
134,"146 2nd Ave, New York, NY 10003","{'healthmarkets', 'grocery', 'convenience'}",40.7292020000096,-73.9867730000019,Village Farm Grocery,10003,10003,Greenwich Village
135,"94 Ave B, New York, NY 10003","{'delis', 'grocery', 'sandwiches'}",40.7245959526307,-73.9815849065781,Sunny and Annie's,10003,10003,Greenwich Village
136,"21 St Marks Pl, New York, NY 10003","{'delis', 'grocery'}",40.729127,-73.98857,St Mark's Market,10003,10003,Greenwich Village
137,"61 1st Ave 4th St, New York, NY 10003","{'delis', 'grocery'}",40.7250797391189,-73.9872550964355,Houston Village Farm's Deli,10003,10003,Greenwich Village
138,"165 1st Ave, New York, NY 10003",{'grocery'},40.729076,-73.984642,Commodities Natural Market,10003,10003,Greenwich Village
139,"109 First Ave, New York, NY 10003","{'delis', 'grocery'}",40.726894,-73.98616,Polish G.I. Delicatessen,10003,10003,Greenwich Village
140,"69 2nd Ave, New York, NY 10003",{'grocery'},40.726398,-73.989624,East Village Farm & Grocery,10003,10003,Greenwich Village
141,"107 2nd Ave, New York, NY 10003",{'grocery'},40.727735575523,-73.9884884346556,New Yorkers Foodmarket,10003,10003,Greenwich Village
142,"40 E 3rd St, New York, NY 10003",{'grocery'},40.7254099,-73.98971,Pak Punjab Deli & Grocery,10003,10003,Greenwich Village
